Sample,Sim_Id,ARTCoverage,ARTCoverage--Beta-alpha,ARTCoverage--Beta-beta,AgeBin,Gender,Province,Result,Year,weight
1,2b782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5354371443352303,2011.5,1.0
1,2b782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.908774642442984,2016.5,1.0
1,2b782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.454599761051374,2011.5,1.0
1,2b782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7380352644836272,2016.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.25717501406865506,2011.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6157469717362046,2016.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.07705479452054795,2011.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.3726235741444867,2016.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.4219066937119675,2011.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8222001489942885,2016.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.2909336941813261,2011.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.5980148883374691,2016.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5376072690560323,2011.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.9147404319818112,2016.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4524348810872027,2011.5,1.0
5,2f782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7529191966370855,2016.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.2555488902219556,2011.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6002604166666666,2016.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.08139534883720931,2011.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.3302752293577982,2016.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.4224381071764337,2011.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8171238570241064,2016.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.27358024691358024,2011.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.6046145778710016,2016.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5452597750401714,2011.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.9173197492163009,2016.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4548211036992117,2011.5,1.0
7,31782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.758791480931154,2016.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.267741935483871,2011.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6206600942991856,2016.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.09360189573459717,2011.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.345565749235474,2016.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.4246836953926951,2011.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8304742684157417,2016.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.28155646947168617,2011.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.5986101919258769,2016.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5633280339162692,2011.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.915471112834432,2016.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4641350210970464,2011.5,1.0
11,35782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7432070417145044,2016.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.27266338721011946,2011.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6017624842635334,2016.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.08831400535236396,2011.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.35106382978723405,2016.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.4344962185899,2011.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8318638507279065,2016.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.2857570317175344,2011.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.5971742543171115,2016.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5605333333333333,2011.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.9142194744976816,2016.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4634950541686293,2011.5,1.0
15,39782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7500958221540821,2016.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.25609756097560976,2011.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6059498956158664,2016.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.0914351851851852,2011.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.3375594294770206,2016.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.41834625322997415,2011.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8236327696024599,2016.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.2722323049001815,2011.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.5944837868058144,2016.5,1.0
